name,price,link
HP Probook 450 G8 Core i5 11th Gen 512GB SSD 15.6 inch HD Laptop with Win 10,"70,000",https://www.startech.com.bd/hp-probook-450-g8-i5-512gb-ssd-hd-laptop
"Acer Aspire 5 A515-54G-50WC Core i5 10th Gen MX250 2GB Graphics 15.6"" FHD Laptop","70,500",https://www.startech.com.bd/acer-aspire-5-a515-54g-50wc-core-i5-10th-gen-laptop
"Asus VivoBook 15 X513EA Core i5 11th Gen 15.6"" FHD Laptop","71,000",https://www.startech.com.bd/asus-vivobook-15-x513ea-11th-gen-laptop
"Lenovo ThinkPad E15 Core i5 10th Gen RX640 2GB Graphics 15.6"" FHD Laptop ","72,000",https://www.startech.com.bd/lenovo-thinkpad-e15-core-i5-laptop
"Xiaomi RedmiBook Air 13 Core i5 10th Gen 13.3"" Display Laptop","72,000",https://www.startech.com.bd/xiaomi-redmibook-air-13-core-i5-10th-gen-laptop
"Dell Latitude 5410 Core i5 10th Gen 512GB SSD 14"" FHD Laptop","90,000",https://www.startech.com.bd/dell-latitude-5410-core-i5-512gb-ssd-laptop
"Asus ZenBook 14 UX425JA Core i5 10th Gen 512GB SSD 14"" FHD Laptop with Windows 10","90,000",https://www.startech.com.bd/asus-zenbook-14-ux425ja-i5-laptop
"Asus ZenBook 14 UX425JA Core i5 10th 14"" FHD Laptop with Windows 10","90,000",https://www.startech.com.bd/asus-zenbook-14-ux425ja-i5-10th-gen-laptop
"Dell Latitude 14 5420 Core i5 11th Gen 14"" FHD Laptop","89,000",https://www.startech.com.bd/dell-latitude-5420-core-i5-11th-gen-fhd-laptop
"Avita Liber V14 Core i7 10th Gen 14"" FHD Laptop","90,990",https://www.startech.com.bd/avita-liber-v14-core-i7-laptop
"Avita Liber V14 Core i7 10th Gen 14"" FHD Laptop Champagne Gold","90,990",https://www.startech.com.bd/avita-liber-v14-core-i7-laptop-champagne-gold
"Lenovo IdeaPad Gaming 3i Core i5 10th Gen GTX1650 4GB Graphics 15.6"" FHD Laptop","87,000",https://www.startech.com.bd/lenovo-ideapad-gaming-3i-10th-gen-core-i5-laptop
"Acer Swift 3 SF313-53 Core i5 11th Gen 13.5"" FHD Laptop","93,000",https://www.startech.com.bd/acer-swift-3-sf313-53-core-i5-11th-gen-laptop
"ASUS VivoBook S15 M533IA Ryzen 7 4700U 15.6"" FHD Laptop with Windows 10","93,000",https://www.startech.com.bd/asus-vivobook-s15-m533ia-ryzen-7-fhd-laptop
"Gigabyte Aorus 5 MB Core i5 10th Gen 512GB SSD, GTX 1650Ti Graphics 15.6"" 144Hz FHD Gaming Laptop","90,500",https://www.startech.com.bd/gigabyte-aorus-5-mb-core-i5-fhd-gaming-laptop
"ASUS VivoBook F571LI Core i5 10th Gen 512GB SSD GTX1650Ti 4GB Graphics 15.6"" FHD Gaming Laptop","94,000",https://www.startech.com.bd/asus-vivobook-f571li-core-i5-10th-gen-laptop
Asus TUF FX506LI Core i5 10th Gen 1650Ti 4GB Graphics 15.6” FHD Gaming Laptop,"94,000",https://www.startech.com.bd/asus-tuf-fx506li-10th-gen-laptop
Asus VivoBook S15 S533EA Core i7 11th Gen 15.6” FHD Laptop with Windows 10,"94,000",https://www.startech.com.bd/asus-vivobook-s15-s533ea-core-i7-11th-gen-laptop
"Gigabyte Aorus 5 MB Core i5 10th Gen GTX 1650Ti Graphics 15.6"" 144Hz FHD Gaming Laptop","92,500",https://www.startech.com.bd/gigabyte-aorus-5mb-core-i5-gaming-laptop
Lenovo IdeaPad Slim 5i Core i7 11th Gen 512GB SSD MX450 2GB Graphics 15.6″ FHD Laptop,"95,000",https://www.startech.com.bd/lenovo-ideapad-slim-5i-core-i7-fhd-laptop
"NEXSTGO NX101 Primus Core i5 8th Gen 14"" Full HD Laptop with Windows 10","96,000",https://www.startech.com.bd/nexstgo-nx101-i5-laptop
Asus ZenBook 14 UX425EA Core i5 11th Gen 14” FHD Laptop with Windows 10,"97,000",https://www.startech.com.bd/asus-zenbook-14-ux425ea-core-i5-11th-gen-laptop
"Huawei MateBook 13 Core i5 10th Gen 512GB SSD MX250 2GB Graphics 13"" 2K Touch Laptop","98,000",https://www.startech.com.bd/huawei-matebook-13-i5-10th-gen-uhd-laptop
Asus VivoBook S15 S533EQ Core i7 11th Gen MX350 2GB Graphics 15.6” FHD Laptop,"99,000",https://www.startech.com.bd/asus-vivobook-s15-s533eq-core-i7-11th-gen-laptop
"Acer Nitro 5 AN515-44 AMD Ryzen 5 4600H GTX 1650 Ti 4GB Graphics 15.6"" FHD Gaming Laptop","102,000",https://www.startech.com.bd/acer-nitro-5-an515-44-gaming-laptop
"NEXSTGO NX101 Core i7 8th Gen 14"" Full HD Laptop with Windows 10","102,000",https://www.startech.com.bd/nexstgo-nx101-i7-laptop
"ASUS ZenBook Flip 13 UX363JA Core i5 10th Gen 13.3"" Full HD Laptop with Windows 10","102,000",https://www.startech.com.bd/asus-zenbook-flip-13-ux363ja-laptop
"Asus ZenBook 14 UX425JA Core i7 10th Gen 8GB RAM 14"" FHD Laptop with Windows 10","102,000",https://www.startech.com.bd/asus-zenbook-14-ux425ja-8gb-ram-laptop
"Asus Zenbook Flip 13 UX363EA Core i5 11th Gen 13.3"" FHD Touch Laptop","102,000",https://www.startech.com.bd/asus-zenbook-flip-13-ux363ea-11th-gen-touch-laptop
"Acer Nitro 5 AN515-44 AMD Ryzen 5 4600H 256GB SSD GTX 1650 4GB Graphics 15.6"" FHD Gaming Laptop","102,000",https://www.startech.com.bd/acer-nitro-5-an515-44-256gb-ssd-gaming-laptop
"Acer Swift 3X SF314-510G Core i5 11th Gen 14"" Full HD Laptop","103,000",https://www.startech.com.bd/acer-swift-3x-sf314-510g-core-i5-11th-gen-laptop
"Dell Latitude 14 7420 Core i5 11th Gen 14"" FHD Laptop","103,500",https://www.startech.com.bd/dell-latitude-7420-core-i5-11th-gen-fhd-laptop
"Dell Inspiron 13-7306 2-in-1 Core i5 11th Gen 13.3"" FHD Touch Laptop","104,000",https://www.startech.com.bd/dell-inspiron-13-7306-2-in-1-core-i5-11th-gen-touch-laptop
"MSI Summit B14 A11MOT Core i5 11th Gen 14"" FHD Touch Laptop ","104,000",https://www.startech.com.bd/msi-summit-b14-a11mot-i5-11th-gen-touch-laptop
Asus TUF FX506LU Core i5 10th Gen GTX 1660Ti 6GB Graphics 512GB SSD 15.6” FHD Gaming Laptop,"107,000",https://www.startech.com.bd/asus-tuf-fx506lu-10th-gen-gaming-laptop
"Microsoft Surface Laptop 3 Core i5 10th Gen 8GB RAM 128GB SSD 13.5"" Multi Touch Display","108,000",https://www.startech.com.bd/microsoft-surface-laptop-3-core-i5-multi-touch-display
"Acer Swift 5 SF514-55TA Core i5 11th Gen 14"" FHD Touch Laptop","108,000",https://www.startech.com.bd/acer-swift-5-sf514-55ta-11th-gen-fhd-touch-laptop
"NEXSTGO NX101 Core i7 8th Gen 16GB RAM 14"" Full HD Laptop with Windows 10","110,000",https://www.startech.com.bd/nexstgo-nx101-i7-16gb-ram-laptop
"Xiaomi Mi Game Book Core i7 GTX1060 6GB Graphics 15.6"" FHD Gaming Laptop","104,000",https://www.startech.com.bd/xiaomi-mi-game-book-core-i7-8th-gen-gaming-laptop
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN63) Space Gray","110,000",https://www.startech.com.bd/apple-macbook-air-13-3-inch-m1-chip-laptop-256gb-ssd
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN93) Silver","110,000",https://www.startech.com.bd/apple-macbook-air-13-3-inch-m1-chip-laptop-256gb-ssd-silver
"Dell Latitude 14 5420 Core i7 11th Gen 14"" FHD Laptop","110,500",https://www.startech.com.bd/dell-latitude-5420-core-i7-11th-gen-fhd-laptop
"Lenovo IdeaPad Flex 5i Core i7 10th Gen MX330 2GB Graphics 14"" FHD Touch Laptop","112,000",https://www.startech.com.bd/lenovo-ideapad-flex-5i-core-i7-touch-laptop
"Asus ZenBook 13 UX325JA Core i7 10th Gen 512GB SSD 13.3"" FHD Laptop with Windows 10","114,000",https://www.startech.com.bd/asus-zenbook-13-ux325ja-i7-laptop
"Asus ZenBook 14 UX425JA Core i7 10th Gen 512GB SSD 14"" FHD Laptop with Windows 10","114,000",https://www.startech.com.bd/asus-zenbook-14-ux425ja-laptop
"HP ENVY x360 Convertible 13-ay0122AU Ryzen 5 4500U 13.3"" FHD Touch Laptop","114,500",https://www.startech.com.bd/hp-envy-x360-convertible-13-ay0122au-touch-laptop
"Lenovo Legion 5 Core i5 10th Gen GTX1650Ti 4GB Graphics 15.6"" FHD Gaming Laptop","115,000",https://www.startech.com.bd/lenovo-legion-5-core-i5-10th-gen-gaming-laptop
"HP Pavilion Gaming 15-ec1103AX Ryzen 7 4800H GTX 1650Ti 4GB Graphics 15.6"" FHD Laptop","115,000",https://www.startech.com.bd/hp-pavilion-gaming-15-ec1103ax-laptop
"Asus ZenBook 14 UX435EAL Core i5 11th Gen 1 TB SSD 14"" FHD Laptop","115,000",https://www.startech.com.bd/asus-zenbook-14-ux435eal-core-i5-11th-gen-laptop
"MSI Prestige 14 A11SCX Core i5 11th Gen 14"" FHD Laptop","116,000",https://www.startech.com.bd/msi-prestige-14-a11scx-core-i5-11th-gen-laptop
"Acer Nitro 7 AN715-51 510A 9th Gen Core i5 (256GB SSD + 1TB HDD) 15.6"" FHD Gaming Laptop","116,800",https://www.startech.com.bd/acer-nitro-7-an715-51-510a-laptop
"ASUS ZenBook Flip 13 UX363JA Core i7 10th Gen 13.3"" Full HD Touch Laptop with Windows 10","117,000",https://www.startech.com.bd/asus-zenbook-flip-13-ux363ja-core-i7-touch-laptop
"Acer Nitro 5 AN515-56 Core i5 11th Gen 512GB SSD, GTX 1650 4GB, 15.6"" FHD 144hz Gaming Laptop","117,000",https://www.startech.com.bd/acer-nitro-5-an515-56-core-i5-fhd-gaming-laptop
"MSI Prestige 14 A11SCX Core i7 11th Gen GTX1650 Max-Q 4GB graphics 14"" UHD Laptop","156,000",https://www.startech.com.bd/msi-prestige-14-a11scx-core-i7-11th-gen-laptop
"ASUS ExpertBook B9 B9450FA Core i7 10th Gen 14"" FHD Laptop with Windows 10","158,000",https://www.startech.com.bd/asus-expertbook-b9450fa-core-i7-10th-gen-laptop
Asus ZenBook Flip S UX371EA Core i7 11th Gen 13.3” 4K Touch Laptop,"158,000",https://www.startech.com.bd/asus-zenbook-flip-s-ux371ea-11th-gen-touch-laptop
"ASUS ZenBook Duo 14 UX482EA 11th Gen Core i7 1TB SSD Gen 14"" FHD Touch Laptop","158,000",https://www.startech.com.bd/asus-zenbook-duo-14-ux482ea-11th-gen-1tb-ssd-touch-laptop
Razer Blade 15 Base Model Core i7 10th Gen 256GB SSD GTX 1660 Ti 6GB Graphics 15.6″ FHD Gaming Laptop,"155,000",https://www.startech.com.bd/razer-blade-15-base-model-core-i7-10th-gen-256gb-ssd-gaming-laptop
"HP Elite Dragonfly G2 Core i5 11th Gen 13.3"" FHD Touch Laptop","160,000",https://www.startech.com.bd/hp-elite-dragonfly-g2-core-i5-touch-laptop
"MSI Summit E14 A11SCS Core i7 11th Gen GTX1650 Ti Max-Q 4GB Graphics 14"" UHD Laptop","161,800",https://www.startech.com.bd/msi-summit-e14-a11scs-core-i7-11th-gen-laptop
"Acer Predator PH315-53 Intel Core i7 10th Gen RTX 2060 6GB Graphics 15.6"" 144Hz FHD Gaming Laptop","162,000",https://www.startech.com.bd/acer-predator-ph315-53-rtx-2060-gaming-laptop
"ASUS ZenBook Duo 14 UX482EG Core i7 11th Gen MX450 2GB Graphics 14"" FHD Touch Laptop","162,000",https://www.startech.com.bd/asus-zenbook-duo-14-ux482eg-i7-11th-gen-touch-laptop
"Lenovo Legion Y740-15IRHg 81UH Core i7 9th Gen RTX2070 8GB Graphics 15.6"" FHD Gaming Laptop","160,000",https://www.startech.com.bd/lenovo-legion-y740-15irhg-81uh-gaming-laptop
Asus ZenBook S UX393EA Core i7 11th Gen 13.9” UHD Touch Laptop,"165,000",https://www.startech.com.bd/asus-zenbook-s-ux393ea-core-i7-11th-gen-touch-laptop
"ASUS ROG Strix G15 G513QM Ryzen 7 5800H RTX3060 6GB Graphics 15.6"" Gaming Laptop","165,000",https://www.startech.com.bd/asus-rog-strix-g15-g513qm-ryzen-7-gaming-laptop
"MSI Summit E15 A11SCST Core i7 11th Gen GTX1650 Ti 4GB Graphics 15.6"" FHD Touch Gaming Laptop","166,000",https://www.startech.com.bd/msi-summit-e15-a11scst-i7-11th-gen-touch-gaming-laptop
"Lenovo Legion 5P Core i7 10th Gen RTX 2060 6GB Graphics 15.6"" FHD Gaming Laptop","167,000",https://www.startech.com.bd/lenovo-legion-5p-core-i7-gaming-laptop
